canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C,CHEMBL424100,nM,6200.0,uM,6.2
C/C(=C\C(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,CHEMBL359415,nM,50600.0,uM,50.6
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NC(=O)c5ccccc5)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)N(C)C,CHEMBL343365,nM,78200.0,uM,78.2
CC(=O)O[C@H]1[C@@H](NC(=O)C=C(C)C)CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@H]4[C@@H]3CC[C@@H]12,CHEMBL146254,nM,8500.0,uM,8.5
C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,CHEMBL343054,nM,61300.0,uM,61.3
C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@@H]3[C@H](CC[C@]4(C)C([C@H](C)N(C)C)=CC[C@@H]34)[C@@]2(C)C[C@H]1O,CHEMBL146080,nM,185200.0,uM,185.2
C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,CHEMBL343780,nM,7100.0,uM,7.1
CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1,CHEMBL422098,nM,69900.0,uM,69.9
CC(=O)O[C@H]1[C@@H](NC(=O)c2ccccc2)[C@@H](O)C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@H]4[C@@H]3CC[C@@H]12,CHEMBL413039,nM,227900.0,uM,227.9
C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]34)[C@@]2(C)C[C@@H]1O,CHEMBL421920,nM,182400.0,uM,182.4
C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,CHEMBL137039,nM,5800.0,uM,5.8
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C(=O)/C=C/c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,CHEMBL409854,nM,19900.0,uM,19.9
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(NC(=O)c5ccccc5)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,CHEMBL335133,nM,5200.0,uM,5.2
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,CHEMBL344593,nM,6300.0,uM,6.3
CN[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C(C)=O)CC[C@@H]32)C1,CHEMBL147346,nM,204200.0,uM,204.2
CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,CHEMBL553187,nM,740.0,uM,0.74
CN(CCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,CHEMBL545585,nM,13000.0,uM,13.0
CN(CCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,CHEMBL545126,nM,11000.0,uM,11.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,nM,48.0,uM,0.048
Cl.c1ccc(CN2CCC(CNc3ccc(-c4ccccc4)nn3)CC2)cc1,CHEMBL554861,nM,5600.0,uM,5.6
CCN1CCCC1CNc1ccc(-c2ccccc2)nn1.Cl,CHEMBL539319,nM,62000.0,uM,62.0
Cl.c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1,CHEMBL544887,nM,800000.0,uM,800.0
Cl.c1ccc(-c2ccc(NCCCN3CCOCC3)nn2)cc1,CHEMBL556144,nM,410000.0,uM,410.0
Cl.c1ccc(-c2ccc(NCCCCCN3CCc4ccccc4C3)nn2)cc1,CHEMBL543711,nM,10000.0,uM,10.0
Cl.c1ccc(CN2CCC(Nc3ccc(-c4ccccc4)nn3)CC2)cc1,CHEMBL539062,nM,65000.0,uM,65.0
Cl.c1ccc(-c2ccc(NCCCN3CCc4ccccc4C3)nn2)cc1,CHEMBL537388,nM,35000.0,uM,35.0
CN(CCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,CHEMBL538062,nM,170000.0,uM,170.0
Cl.c1ccc(-c2ccc(NCCCCN3CCc4ccccc4C3)nn2)cc1,CHEMBL541350,nM,15000.0,uM,15.0
Cl.c1ccc(-c2ccc(NCCN3CCCCC3)nn2)cc1,CHEMBL538098,nM,71000.0,uM,71.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,nM,39.0,uM,0.039
Cl.c1ccc(-c2ccc(NCCN3CCc4ccccc4C3)nn2)cc1,CHEMBL541613,nM,83000.0,uM,83.0
Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,CHEMBL3215535,nM,120.0,uM,0.12
O=C(O)c1cccc(N2C(=O)C=CC2=O)c1,CHEMBL441433,nM,256.0,nM,256.0
Cc1nc2cccc(Cl)c2c(N)c1CNC1(C(F)(F)F)CCC(=O)O1,CHEMBL108143,nM,7200.0,nM,7200.0
OC(O)(CCCCCNc1c2c(nc3ccccc13)CCCCC2)C(F)(F)F,CHEMBL109105,nM,14.0,nM,14.0
O=C(c1ccc(CNc2c3c(nc4cccc(Cl)c24)CCCCC3)s1)C(F)(F)F,CHEMBL322994,nM,12.0,nM,12.0
Cc1nc2ccccc2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,CHEMBL108313,nM,3.0,nM,3.0
Nc1c2c(nc3cccc(Cl)c13)CCCCC2,CHEMBL107516,nM,2.4,nM,2.4
Cc1nc2cccc(F)c2c(N)c1COCc1ccccc1,CHEMBL323772,nM,2000.0,nM,2000.0
O=C(O)CCC(=O)Nc1cccc(C(=O)O)c1,CHEMBL296834,nM,92.5,nM,92.5
O=C(O)c1cccc(N2C(=O)CCC2=O)c1,CHEMBL52722,nM,33.4,nM,33.4
OC(O)(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCCC2)C(F)(F)F,CHEMBL107504,nM,36.0,nM,36.0
O=C(c1cccc(CBr)c1)C(F)(F)F,CHEMBL322727,nM,360.0,nM,360.0
Cc1nc2cccc(F)c2c(N)c1CSC1(C(F)(F)F)CCCO1,CHEMBL108434,nM,18.0,nM,18.0
Cc1nc2cccc(F)c2c(N)c1CO,CHEMBL321926,nM,2600.0,nM,2600.0
CC(=O)c1cccc(CSCc2c(C)nc3cccc(F)c3c2N)c1,CHEMBL109152,nM,15000.0,nM,15000.0
Cc1nc2cccc(F)c2c(N)c1CNC1(C(F)(F)F)CCC(=O)O1,CHEMBL322791,nM,14000.0,nM,14000.0
Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(=O)C(F)(F)F)c1,CHEMBL108696,nM,3.0,nM,3.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,nM,8.2,nM,8.2
Cc1nc2cccc(Cl)c2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,CHEMBL108749,nM,5.1,nM,5.1
Cc1nc2cccc(F)c2c(N)c1CN,CHEMBL325142,nM,1900.0,nM,1900.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,nM,360.0,nM,360.0
Clc1cccc2nc3c(c(NCc4cccs4)c12)CCCCC3,CHEMBL108872,nM,740.0,nM,740.0
Cc1nc2cccc(F)c2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,CHEMBL419926,nM,3.8,nM,3.8
Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(O)C(F)(F)F)c1,CHEMBL325766,nM,11000.0,nM,11000.0
O=C(O)/C=C\C(=O)Nc1cccc(C(=O)O)c1,CHEMBL53968,nM,357.0,nM,357.0
CCOC(=O)c1c(C)nc2cccc(F)c2c1N,CHEMBL107931,nM,2600.0,nM,2600.0
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,nM,50.0,nM,50.0
C[N+](C)(C)CCCCCBr.[Br-],CHEMBL150123,nM,534000.0,M,0.000534
CCOCC[N+](C)(C)C.[I-],CHEMBL148369,nM,1160000.0,M,0.00116
CC(=O)CCC[N+](C)(C)C.[I-],CHEMBL150001,nM,84800.0,M,0.0000848
C[N+](C)(C)CCCl.[Cl-],CHEMBL118539,nM,2390000.0,M,0.00239
C[N+]1(C)CCO[C@@](O)(c2ccc(C#N)cc2)C1.[Br-],CHEMBL342564,nM,11600000.0,M,0.0116
C[N+]1(C)CCO[C@H](O)C1.[Cl-],CHEMBL148907,nM,1760000.0,M,0.00176
CCCC(=O)SCC[N+](C)(C)C.[I-],CHEMBL148530,nM,126000.0,M,0.000126
C=CC[N+](C)(C)C.[Br-],CHEMBL356328,nM,2920000.0,M,0.00292
C[N+]1(C)CCO[C@@](O)(c2ccc(N)cc2)C1.[Br-],CHEMBL148939,nM,691000.0,M,0.000691
C[N+](C)(C)CCO.[I-],CHEMBL293410,nM,3010000.0,M,0.00301
C[N+](C)(C)CCCBr.[Br-],CHEMBL145957,nM,87900.0,M,0.0000879
CCSCC[N+](C)(C)C.[I-],CHEMBL150104,nM,1510000.0,M,0.00151
C[N+](C)(C)CCCCI.[I-],CHEMBL148531,nM,471000.0,M,0.000471
CC(C)(C)[C@@]1(O)C[N+](C)(C)CCO1.[Br-],CHEMBL145973,nM,3710000.0,M,0.00371
C[N+]1(C)CCO[C@@](O)(C(F)(F)F)C1.[Br-],CHEMBL356969,nM,3830000.0,M,0.00383
CCCC(=O)OCC[N+](C)(C)C.[I-],CHEMBL147380,nM,229000.0,M,0.000229
