canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
Cc1cccc([N+](=O)[O-])c1-c1ccc(C=C2C(=O)N(c3ccccc3)C(=S)N(c3ccccc3)C2=O)o1,CHEMBL4583184,nM,500000.0,uM,500.0
O=C(c1ccc(N2N=C(c3ccccc3)CC2c2cccc3ccccc23)cc1)N1CCOCC1,CHEMBL4637789,nM,1410.0,uM,1.41
Cc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)cc1,CHEMBL4646262,nM,8750.0,uM,8.75
Cc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)cc1C,CHEMBL4638955,nM,14460.0,uM,14.46
CCc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)cc1,CHEMBL4649571,nM,22680.0,uM,22.68
COc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)cc1,CHEMBL4643182,nM,7270.0,uM,7.27
CCOc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)cc1,CHEMBL4647408,nM,9060.0,uM,9.06
O=C(c1ccc(N2N=C(c3ccc(F)cc3)CC2c2cccc3ccccc23)cc1)N1CCOCC1,CHEMBL4640669,nM,180.0,uM,0.18
O=C(c1ccc(N2N=C(c3ccc(Br)cc3)CC2c2cccc3ccccc23)cc1)N1CCOCC1,CHEMBL4647867,nM,1370.0,uM,1.37
Cc1cccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3cccc4ccccc34)C2)c1,CHEMBL4646685,nM,5740.0,uM,5.74
O=C(c1ccc(N2N=C(c3cccc(Cl)c3)CC2c2cccc3ccccc23)cc1)N1CCOCC1,CHEMBL4644650,nM,1340.0,uM,1.34
O=C(c1ccc(N2N=C(c3cccc(Br)c3)CC2c2cccc3ccccc23)cc1)N1CCOCC1,CHEMBL4642657,nM,3580.0,uM,3.58
O=C(c1ccc(N2N=C(c3ccccc3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4632529,nM,2460.0,uM,2.46
Cc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)cc1,CHEMBL4649150,nM,9010.0,uM,9.01
Cc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)cc1C,CHEMBL4645013,nM,17550.0,uM,17.55
CCc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)cc1,CHEMBL4641958,nM,21860.0,uM,21.86
COc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)cc1,CHEMBL4641939,nM,13950.0,uM,13.95
CCOc1ccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)cc1,CHEMBL4640305,nM,19910.0,uM,19.91
O=C(c1ccc(N2N=C(c3ccc(F)cc3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4641941,nM,880.0,uM,0.88
O=C(c1ccc(N2N=C(c3ccc(Cl)cc3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4635945,nM,1160.0,uM,1.16
O=C(c1ccc(N2N=C(c3ccc(Cl)c(Cl)c3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4647287,nM,1930.0,uM,1.93
O=C(c1ccc(N2N=C(c3ccc(Br)cc3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4647225,nM,2340.0,uM,2.34
Cc1cccc(C2=NN(c3ccc(C(=O)N4CCOCC4)cc3)C(c3ccc4ccccc4c3)C2)c1,CHEMBL4632800,nM,4350.0,uM,4.35
O=C(c1ccc(N2N=C(c3cccc(Cl)c3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4646958,nM,4880.0,uM,4.88
O=C(c1ccc(N2N=C(c3cccc(Br)c3)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4633176,nM,7800.0,uM,7.8
O=C(c1ccc(N2N=C(c3ccccc3Cl)CC2c2ccc3ccccc3c2)cc1)N1CCOCC1,CHEMBL4646420,nM,15580.0,uM,15.58
N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,CHEMBL5189739,nM,30000.0,uM,30.0
CCC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)CN)C(=O)O,CHEMBL5274458,nM,134600.0,uM,134.6
CC(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)O,CHEMBL5289275,nM,7970.0,uM,7.97
CC(=O)NCC(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL5289169,nM,10120.0,uM,10.12
CC(=O)NCC(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)O,CHEMBL5282293,nM,12160.0,uM,12.16
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL5280732,nM,1090.0,uM,1.09
C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1CCCC1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CHEMBL5288446,nM,570.0,uM,0.57
