canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,CHEMBL156630,nM,1000000.0,uM,1000.0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,CHEMBL155754,nM,1000000.0,uM,1000.0
N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,CHEMBL350093,nM,18.0,nM,18.0
O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,CHEMBL161907,nM,9.0,nM,9.0
N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,CHEMBL17079,nM,4.4,nM,4.4
CC(C)/N=C1/CCc2c1n(C)c1ccccc21,CHEMBL348083,nM,1000000.0,uM,1000.0
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,CHEMBL157182,nM,395000.0,uM,395.0
COc1cc(Br)c2oc(C3CCNCC3)cc2c1,CHEMBL160347,nM,23400.0,uM,23.4
CC/N=C1/CCc2c1n(C)c1ccccc21,CHEMBL347197,nM,77600.0,uM,77.6
CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,CHEMBL160219,nM,1000000.0,uM,1000.0
CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,CHEMBL445916,nM,1000000.0,uM,1000.0
Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,CHEMBL158041,nM,1000000.0,uM,1000.0
N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,CHEMBL434261,nM,2.0,nM,2.0
CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,CHEMBL348607,nM,175000.0,uM,175.0
CCC/N=C1/CCc2c1n(C)c1ccccc21,CHEMBL156919,nM,1000000.0,uM,1000.0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,CHEMBL156931,nM,1000000.0,uM,1000.0
N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,CHEMBL17092,nM,2.2,nM,2.2
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,CHEMBL160836,nM,1000000.0,uM,1000.0
N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,CHEMBL16530,nM,8.0,nM,8.0
Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,CHEMBL348961,nM,0.014,nM,0.014
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,CHEMBL156861,nM,1000000.0,uM,1000.0
C/N=C1/CCc2c1n(C)c1ccccc21,CHEMBL346766,nM,317000.0,uM,317.0
N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,CHEMBL16623,nM,16.0,nM,16.0
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,CHEMBL155350,nM,1000000.0,uM,1000.0
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL433041,nM,,uM,
CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,CHEMBL155863,nM,1000000.0,uM,1000.0
O=C1CCc2cc(OCCCC(F)(F)F)ccc21,CHEMBL414637,nM,0.318,nM,0.318
Cc1cc2c(nn1)-c1ccccc1C2=O,CHEMBL341071,nM,130.0,nM,130.0
O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,CHEMBL127983,nM,90.0,nM,90.0
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,CHEMBL158946,nM,51000.0,uM,51.0
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,CHEMBL350464,nM,1000000.0,uM,1000.0
COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,CHEMBL161896,nM,20.0,nM,20.0
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,CHEMBL304241,nM,19000.0,M,0.000019
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,CHEMBL62743,nM,42000.0,M,0.000042
COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,CHEMBL65252,nM,20000.0,M,0.00002
COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,CHEMBL293004,nM,100000.0,M,0.0001
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,CHEMBL63223,nM,89000.0,M,0.000089
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,CHEMBL66639,nM,40000.0,M,0.00004
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,CHEMBL418480,nM,120000.0,M,0.00012
COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,CHEMBL291647,nM,83000.0,M,0.000083
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,CHEMBL303594,nM,25000.0,M,0.000025
