canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CHEMBL288441,,,,
CNC(=O)CCc1cc(-c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)n(-c2ccc(N3CCNCC3)cc2)n1,CHEMBL1830587,nM,600.0,uM,0.6
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,CHEMBL2205766,nM,10000.0,,5.0
NC(=O)c1nnsc1Nc1ccccc1,CHEMBL3730447,nM,1000.0,uM,1.0
CCOC(=O)c1nnsc1Nc1ccccc1,CHEMBL3732509,nM,16000.0,uM,16.0
O=C(O)c1nnsc1Nc1ccccc1,CHEMBL3729907,nM,20000.0,uM,20.0
NC(=O)c1nnsc1Nc1ccc(Br)cc1,CHEMBL3727852,nM,20000.0,uM,20.0
COc1ccc(Nc2snnc2C(N)=O)cc1,CHEMBL3728957,nM,20000.0,uM,20.0
CCOC(=O)Nc1snnc1C(N)=O,CHEMBL3727744,nM,20000.0,uM,20.0
NC(=O)c1nnsc1NC12CC3CC(CC(C3)C1)C2,CHEMBL3731506,nM,20000.0,uM,20.0
NC(=O)c1nnsc1NC1CCCCC1,CHEMBL3728317,nM,20000.0,uM,20.0
NC(=O)c1nnsc1Nc1cccc2ccccc12,CHEMBL3732293,nM,19000.0,uM,19.0
NC(=O)c1nnsc1NCc1ccccc1,CHEMBL3730492,nM,20000.0,uM,20.0
NC(=O)c1nnsc1NC(=O)c1ccccc1,CHEMBL3732197,nM,20000.0,uM,20.0
CCNc1snnc1C(N)=O,CHEMBL3729546,nM,20000.0,uM,20.0
CCCCCCNc1snnc1C(N)=O,CHEMBL3730411,nM,20000.0,uM,20.0
CN(c1ccccc1)c1snnc1C(N)=O,CHEMBL3727714,nM,20000.0,uM,20.0
CC(=O)NC(=O)c1nnsc1Nc1ccccc1,CHEMBL3729909,nM,20000.0,uM,20.0
NCc1nnsc1Nc1ccccc1,CHEMBL3731081,nM,20000.0,uM,20.0
CCCCCCCCCCCCCCN(c1ccccc1)c1snnc1C(N)=O,CHEMBL3732010,,,,
COc1ccc2nc(-c3c(N)n[nH]c3NCCc3cnc[nH]3)sc2c1,CHEMBL3685731,nM,600.0,uM,0.6
COc1cc2sc(-c3c(-c4ccc(F)cc4)n[nH]c3N)nc2cc1F,CHEMBL3685649,nM,2400.0,uM,2.4
COc1cc2sc(-c3c(-c4cccc([N+](=O)[O-])c4)n[nH]c3N)nc2cc1F,CHEMBL3685648,nM,900.0,uM,0.9
COc1cc2sc(-c3c(-c4cccc(F)c4)n[nH]c3N)nc2cc1F,CHEMBL3685647,nM,2300.0,uM,2.3
COc1cc2sc(-c3c(N)n[nH]c3C3CC3c3ccccc3)nc2cc1F,CHEMBL3685646,nM,2100.0,uM,2.1
COc1cc2sc(-c3c(-c4ccccc4F)n[nH]c3N)nc2cc1F,CHEMBL3639845,nM,4000.0,uM,4.0
Nc1n[nH]c(Nc2ccc(SNc3nccs3)cc2)c1-c1nc2ccccc2s1,CHEMBL3730661,nM,3500.0,uM,3.5
Nc1n[nH]c(NCCCC(=O)O)c1-c1nc2ccccc2s1,CHEMBL3685644,nM,4300.0,uM,4.3
Nc1n[nH]c(NCCCCO)c1-c1nc2ccccc2s1,CHEMBL3685643,nM,1700.0,uM,1.7
Nc1n[nH]c(CCCCO)c1-c1nc2ccccc2s1,CHEMBL3685642,nM,1000.0,uM,1.0
Cc1[nH]nc(N)c1-c1nc2c(F)cccc2s1,CHEMBL3685641,nM,400.0,uM,0.4
Oc1ccc(-c2n[nH]cc2-c2nc3ccccc3s2)cc1,CHEMBL3685640,nM,3400.0,uM,3.4
Oc1ccc(-c2n[nH]cc2-c2nc3ccccc3s2)c(O)c1,CHEMBL1368744,nM,3300.0,uM,3.3
CCc1cc(-c2n[nH]cc2-c2nc3ccccc3s2)c(O)cc1O,CHEMBL3685639,nM,1900.0,uM,1.9
Cc1[nH]nc(N)c1-c1nc2ccc(CNc3cccc(S(N)(=O)=O)c3)cc2s1,CHEMBL3685638,nM,800.0,uM,0.8
COc1cc2sc(-c3c(N)n[nH]c3NCCCO)nc2cc1F,CHEMBL3685637,nM,500.0,uM,0.5
Nc1n[nH]c(NCCCO)c1-c1nc2ccccc2s1,CHEMBL3685636,nM,400.0,uM,0.4
Nc1n[nH]c(CCCO)c1-c1nc2ccccc2s1,CHEMBL3685635,nM,200.0,uM,0.2
Cc1[nH]nc(N)c1-c1nc2ccc(CNCCO)cc2s1,CHEMBL3685634,nM,100.0,uM,0.1
Nc1n[nH]c(NC2CCCC2O)c1-c1nc2ccccc2s1,CHEMBL3685633,nM,3500.0,uM,3.5
Nc1n[nH]c(NCCO)c1-c1nc2ccccc2s1,CHEMBL3685632,nM,400.0,uM,0.4
Nc1[nH]nc(-c2ccncc2)c1-c1nc2ccc(S(N)(=O)=O)cc2s1,CHEMBL3685631,nM,50.0,uM,0.05
Cc1n[nH]c(N)c1-c1nc2ccc(S(=O)(=O)NNc3ccccc3)cc2s1,CHEMBL3730049,nM,900.0,uM,0.9
CC(=O)NNS(=O)(=O)c1ccc2nc(-c3c(C)n[nH]c3N)sc2c1,CHEMBL3732995,nM,30.0,uM,0.03
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCCN(C)C)cc2s1,CHEMBL3685629,nM,3200.0,uM,3.2
Cc1[nH]nc(N)c1-c1nc2ccc(S(=O)(=O)NCCN(C)C)cc2s1,CHEMBL3685628,nM,300.0,uM,0.3
