canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,CHEMBL89905,nM,2000.0,uM,2.0
C=CC[C@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL2369028,nM,670.0,uM,0.67
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL89138,nM,720.0,uM,0.72
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\c1csc([C@@H]2C[C@@H]2C)n1)OC,CHEMBL299279,nM,740.0,uM,0.74
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL2115069,nM,5500.0,uM,5.5
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OCOC,CHEMBL2369027,nM,640.0,uM,0.64
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OCC(F)(F)C(F)(F)C(F)(F)F,CHEMBL2369023,nM,5400.0,uM,5.4
C=CC[C@H](O)CC/C(C)=C/C=C/CC/C=C\C1CSC([C@@H]2C[C@@H]2C)=N1,CHEMBL264716,nM,870.0,uM,0.87
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@H]2C[C@H]2C)=N1)OC,CHEMBL91937,nM,2100.0,uM,2.1
CCCCCCCc1cccc(CC/C=C\[C@@H]2CSC([C@@H]3C[C@@H]3C)=N2)c1,CHEMBL89124,nM,50000.0,uM,50.0
C=CC[C@@H](CC/C(C)=C/C=C/CCCO)OC,CHEMBL56241,nM,80000.0,uM,80.0
C=CCCC1=N[C@H](/C=C\CC/C=C/C=C(\C)CC[C@H](CC=C)OC)CS1,CHEMBL2369033,nM,920.0,uM,0.92
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@H]2C[C@@H]2C)=N1)OC,CHEMBL2369032,nM,770.0,uM,0.77
CCCCCCCCCCCC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1,CHEMBL91881,nM,50000.0,uM,50.0
CCC[C@@H](CC/C(C)=C/C=C/CCCCC1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL294903,nM,4600.0,uM,4.6
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@H](CSC(=O)[C@@H]1C[C@@H]1C)NC(C)=O)OC,CHEMBL2369026,nM,1500.0,uM,1.5
CC(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1,CHEMBL88531,nM,50000.0,uM,50.0
CCC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL2369024,nM,1200.0,uM,1.2
C=CCC1(CC/C(C)=C/C=C/CC/C=C\[C@@H]2CSC([C@@H]3C[C@@H]3C)=N2)OCCO1,CHEMBL2369025,nM,780.0,uM,0.78
C=CC[C@@H](CC/C(C)=C/C=C\CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL508496,nM,820.0,uM,0.82
C=CC[C@@H](CC/C(C)=C\C=C\CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL454328,nM,2300.0,uM,2.3
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC(=O)c1ccccc1,CHEMBL2369020,nM,80000.0,uM,80.0
C=CC[C@@H](CC/C(C)=C/C=C/CC/C=C\[C@H](CSC)NC(C)=O)OC,CHEMBL2369022,nM,3300.0,uM,3.3
C=CC[C@@H](CC/C=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC,CHEMBL1714537,nM,4800.0,uM,4.8
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(=O)CC2,CHEMBL368737,nM,760.0,uM,0.76
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(C)=O)CC2,CHEMBL368670,nM,600.0,uM,0.6
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL18981,nM,650.0,uM,0.65
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,1500.0,uM,1.5
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)C13CCC(C)(C(=O)O1)C3(C)C)CC2,CHEMBL291449,nM,1400.0,uM,1.4
CCCC(=O)O[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL173603,nM,850.0,uM,0.85
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1cccnc1)CC2,CHEMBL49518,nM,760.0,uM,0.76
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(C)=O)CC2,CHEMBL355794,nM,1300.0,uM,1.3
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N)CC2,CHEMBL298240,nM,1300.0,uM,1.3
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](OC(C)=O)CC2,CHEMBL368320,nM,2600.0,uM,2.6
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccncc1)CC2,CHEMBL173511,nM,1100.0,uM,1.1
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](O)CC2,CHEMBL427472,nM,6200.0,uM,6.2
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](O)CC2,CHEMBL176684,nM,750.0,uM,0.75
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccccc1)CC2,CHEMBL176317,nM,1400.0,uM,1.4
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1cccnc1)CC2,CHEMBL173025,nM,880.0,uM,0.88
CCCC(=O)OC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,CHEMBL176535,nM,1500.0,uM,1.5
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](OC(=O)C13CCC(C)(C(=O)O1)C3(C)C)CC2,CHEMBL368071,nM,17000.0,uM,17.0
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(O)CC2,CHEMBL172557,nM,1200.0,uM,1.2
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(Br)CC2,CHEMBL177199,nM,1100.0,uM,1.1
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1C(OC(=O)c1ccncc1)CC2.Cl,CHEMBL555514,nM,970.0,uM,0.97
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](OC(=O)c1ccncc1)CC2,CHEMBL49847,nM,560.0,uM,0.56
COc1cc2nc(-c3cccc(F)c3)nc(O)c2cc1OC,CHEMBL18290,nM,40000000.0,mM,40.0
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL67,nM,530000.0,mM,0.53
COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,CHEMBL18351,nM,830.0,uM,0.83
COc1cc2nc(-c3ccc4ccccc4c3)nc(O)c2cc1OC,CHEMBL18974,nM,40000000.0,mM,40.0
COc1cccc(-c2nc(O)c3cc(OC)c(OC)cc3n2)c1,CHEMBL278647,nM,6500000.0,mM,6.5
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,nM,800000.0,mM,0.8
COc1cccc(-c2nc(O)c3ccccc3n2)c1,CHEMBL18670,nM,8600000.0,mM,8.6
COc1cccc(-c2nc(O)c3cc(OC)ccc3n2)c1,CHEMBL18869,nM,4900000.0,mM,4.9
Oc1nc(-c2ccc3ccccc3c2)nc2ccccc12,CHEMBL18847,nM,40000000.0,mM,40.0
COc1cccc(-c2cc(O)c3cc(N4CCCC4)ccc3n2)c1,CHEMBL15778,nM,440.0,uM,0.44
Oc1nc(-c2ccccc2F)nc2ccccc12,CHEMBL18258,nM,40000000.0,mM,40.0
Oc1nc(-c2cccc(F)c2)nc2ccccc12,CHEMBL273327,nM,40000000.0,mM,40.0
COc1cc2nc(-c3ccc(F)cc3)nc(O)c2cc1OC,CHEMBL18753,nM,40000000.0,mM,40.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,nM,460000.0,mM,0.46
Oc1nc(-c2ccc(F)cc2)nc2ccccc12,CHEMBL18688,nM,40000000.0,mM,40.0
COc1cc2nc(-c3ccccc3F)nc(O)c2cc1OC,CHEMBL276943,nM,40000000.0,mM,40.0
COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl,CHEMBL441018,nM,3700.0,uM,3.7
